"","V1"
"(Intercept)",2.21080891618439
"cg19945840",0.530529796563225
"cg25165880",-0.0145076337150938
"cg15146752",0.00731245323891647
"cg21057046",-0.00333109188670579
"cg01154193",-0.0682572708129749
"cg26372517",0.159712285567662
"cg07388493",-0.247003873538708
"cg06154570",0.186485478902568
"cg23762517",-0.0923691514701694
"cg16858125",0.14869442321418
"cg16604218",0.0812353559581307
"cg21448423",-0.0463554062992087
"cg16739396",-0.0528131632726264
"cg03641225",0.0148838993380458
"cg24871743",0.19304153725037
"cg22901840",0.00808630880361257
"cg13697378",0.181674590237512
"cg09118625",0.211839103410092
"cg21808053",0.0498844761828786
"cg19342782",-0.0194960469946888
"cg17237813",-0.00685651133489791
"cg20125091",0.132406116229834
"cg11952714",-0.0569297621152426
"cg23746359",-0.179882913553883
"cg26135325",-0.00468133651078444
"cg08654655",0.00360753826952242
"cg08665772",0.00145207315450773
"cg25256723",-0.101181057463175
"cg01459453",-0.0722241253704361
"cg04983977",0.0526259863219129
"cg05715649",-0.105074294959591
"cg27202708",-0.000329174278042286
"cg14607642",-0.0642867841374259
"cg09462576",-0.0697954117041052
"cg06646021",0.00750707468443306
"cg09809672",-0.288538111426114
"cg19764418",0.102179215128159
"cg11314684",-0.0618798442357974
"cg02196655",0.0370496605949422
"cg10106284",-0.0290049743651197
"cg24309555",0.0329423454629098
"cg08030082",0.0729606876890073
"cg20028470",0.112056425265285
"cg04527918",0.318403108431451
"cg18008766",0.234869436262794
"cg16076328",0.0687781328655596
"cg27320127",0.681225361240342
"cg00689340",-0.136363750378234
"cg25651505",-0.0537589751223379
"cg07799947",-0.0772486169102535
"cg22809047",0.254078671725248
"cg10479672",0.00874451679372056
"cg15869022",0.0927242053950079
"cg01035238",-0.0207983285196781
"cg16682903",-0.00132583341452898
"cg20247600",-0.0101617420491096
"cg22037121",0.0843688646179669
"cg10523019",0.250935951631038
"cg05564251",-0.0874855682619267
"cg24127874",0.0435014679844158
"cg15095327",0.0704100792930419
"cg16615211",0.0936706163202234
"cg22022041",0.0125961487053874
"cg26614073",-0.340327302276105
"cg15988232",0.308082054858928
"cg05125838",-0.0536446636295009
"cg06621358",0.0300245892290868
"cg25021247",-0.0700712445777875
"cg23320649",-0.495289895034521
"cg03019000",-0.668879885319871
"cg08072716",0.010937258448931
"cg04474832",-0.233935643826584
"cg13174197",-0.0150370608408218
"cg06134964",0.0611500734465267
"cg01808508",-0.019401779437562
"cg19093820",-0.00784011845028431
"cg04739570",0.0580588423656494
"cg03330058",-0.189919025530917
"cg19235307",-0.383840067445551
"cg04121771",-0.0130663909887046
"cg14423778",-0.16244020528475
"cg20466180",-0.0438529945747007
"cg18236734",0.134215127417184
"cg15928398",0.0740730130151585
"cg07693270",0.0043741342923548
"cg26838900",-0.0542193157275218
"cg15792688",-0.0130327983770128
"cg02142461",0.105902283161917
"cg03843978",-0.0111872615031415
"cg05158538",-0.0525970932265175
"cg08209133",0.0880655949806006
"cg01804429",-0.0475741220539526
"cg03970609",-0.0394828887319208
"cg15158783",-0.0179056127641389
"cg16072462",-0.000578354211613147
"cg16744741",-0.251547804336039
"cg14654731",0.0387286318399991
"cg18344745",0.0278075494392443
"cg00398048",-0.0347220449872672
"cg13500819",0.244334652798139
"cg16786458",-0.0530881776753023
"cg00059225",0.705883191825569
"cg19728382",0.0076944113184595
"cg02844545",0.244058511164311
"cg22736354",0.630831646716391
"cg06493994",0.541274595546244
"cg07011110",0.011570087929535
"cg04425624",-0.00733231717739783
"cg20226764",-0.147656371478469
"cg01946401",-0.121854626059124
"cg17142149",-0.0907672103143822
"cg17829936",0.00195956673176882
"cg15804973",-0.397882653254096
"cg08263357",0.0942186909426381
"cg14161241",-0.111360503575319
"cg27316956",-0.0791535188165328
"cg22719623",0.235326891429101
"cg25313204",0.0134589047240542
"cg06942110",0.126483453615573
"cg10798171",0.0288570393121672
"cg14898779",0.0429244234062058
"cg26069745",0.148431694828647
"cg01353448",0.116816885681238
"cg20692569",0.411949854728088
"cg08291000",-0.135462105464721
"cg06695761",-0.190954142361098
"cg18873386",0.05108541150612
"cg00548268",0.0623425105231195
"cg04084157",0.0944677126264832
"cg12782180",0.0325933926670676
"cg13975369",0.0580303647144015
"cg19172575",0.0148391540199754
"cg12748258",-0.00157454251362631
"cg23431988",-0.0640283927791967
"cg13351161",-0.0720988839277544
"cg07634191",0.031718986447066
"cg25538571",-0.0561668120799884
"cg18059933",0.00057334042928003
"cg07770222",0.031578465775354
"cg23902550",0.0225478264285114
"cg21959619",-0.172907106940727
"cg24471894",-0.114328035908929
"cg19724470",-0.295844286088963
"cg01600189",-0.0672628831920149
"cg07158339",-0.0806853059788734
"cg02654291",0.122554075789241
"cg10726357",-0.0622218113208355
"cg03454353",0.0162339849985107
"cg11299964",-0.0672071574504493
"cg25732252",-0.0234818220482969
"cg17683775",-0.182537016954336
"cg10676060",0.443381393387878
"cg15538820",-0.131112047598431
"cg06244417",-0.0762647664802056
"cg15720535",0.0487715385106586
"cg00563932",-0.0966091377780954
"cg11115427",-0.0128327848578701
"cg00168942",-0.188250321356274
"cg07871503",0.0100543245805857
"cg16192575",-0.01163482687964
"cg01560871",-0.144261332965617
"cg23858360",-5.70650596812291e-05
"cg06291867",0.066755113082325
"cg05835416",-0.0172525921602219
"cg17349199",0.119016036779702
"cg26201213",0.0294414782671361
"cg26381263",-0.128401281548592
"cg13315147",-0.00156103523647867
"cg02807948",-0.0524460656901537
"cg20392764",0.0940468151875374
"cg27119222",-0.0300238081231403
"cg19497444",0.136336971716151
"cg06131936",-0.161307552758183
"cg24126851",0.109232435887369
"cg18788940",-0.0162315178065291
"cg23058901",0.0345968959534942
"cg20227165",0.0236379513971394
"cg04237003",-0.0594164090429251
"cg22627427",-0.0374326629049006
"cg00754253",-0.035849881395949
"cg08965235",-0.0708906772069477
"cg08012287",0.0433914195559988
"cg11566244",0.0449005191963101
"cg11802013",0.0589633050715838
"cg16547529",0.0452407277712304
"cg25101936",-0.0629970356829538
"cg20492912",0.00337609742238538
"cg20029201",-0.0414740197603417
"cg16310717",-0.0608503549100668
"cg25655096",0.193925628854351
"cg05538432",-0.03061907803639
"cg12650635",-0.0219242185695643
"cg18787783",-0.00286726546235551
"cg20217872",-0.0621047847175029
"cg08888956",-0.162764762054916
"cg03453449",0.0585358134730949
"cg14086122",-0.104396738656062
"cg02647265",-0.036660063830562
"cg27180443",0.117920851302572
"cg17003970",-0.0380492331600048
"cg22675150",0.0653334522474247
"cg01899253",-0.192545607627989
"cg11126134",0.0263435575235124
"cg21081971",0.0335870600669808
"cg22909609",-0.260947491301687
"cg09034896",0.0408253346608797
"cg18081258",-0.116676268648724
"cg13335112",-0.13835141867475
"cg06501084",-0.177241941579844
"cg18771300",0.0303125292268792
"cg06906435",0.123456095638551
"cg16567044",-0.0893425980604278
"cg09280976",-0.0748527703906575
"cg25836301",-0.0879979378155517
"cg25978208",0.140903911270578
"cg26062856",0.0629141666889442
"cg21296230",0.10772097618564
"cg03578041",-0.163337610055451
"cg00075967",0.110801314808434
"cg22563815",0.139235273660993
"cg24888049",-0.0440907968816029
"cg25004981",0.0821590680799366
"cg16899442",-0.0465160444348154
"cg13997068",-0.0621018073519345
"cg14074117",0.0314382808669084
"cg01797043",-0.0270745970799653
"cg08331960",-0.106126948350112
